nucleus  E(21+)  E(41+)  E(02+)  E(22+)  E(03+)  E(23+)   E(04+)   E(24+)
Nd150	0.172300  0.509412  0.878995  1.119662  1.965838  1.481144  2.228243  2.431010
Nd152	0.117820  0.380574  1.309033  1.513482  2.321933  1.821610  2.821525  2.598253
Nd154	0.110203  0.360962  1.521108  1.582659  2.472936  1.700073  3.014919  2.630688
Nd156	0.107226  0.353199  1.678099  1.543484  2.558930  1.835186  3.143534  2.733699
Nd158	0.101876  0.336598  1.797270  1.613640  2.541419  1.960388  3.044277  2.709123
Nd160	0.102470  0.339728  1.709671  1.808209  2.430455  1.865031  3.063465  2.618964
Nd162	0.110426  0.363872  1.404862  1.542919  2.125689  1.623508  2.867164  2.359324
Nd164	0.123225  0.401392  1.176641  1.275337  1.818582  1.357885  2.626602  2.047205
Nd166	0.139870  0.444353  1.050617  1.044790  1.601958  1.289445  2.397756  1.780851
Nd168	0.167488  0.504449  0.904981  0.882730  1.549203  1.257546  2.174668  1.695000
Nd170	0.238848  0.653456  0.858059  0.775971  1.536603  1.276293  2.032194  1.774517
Nd172	0.332574  0.848623  1.094082  0.808011  1.658617  1.567786  2.131200  2.003215
Nd174	0.436187  1.057138  1.426307  0.950852  1.755880  1.985105  2.506453  2.303097
Nd176	-1.046905  -42.004155  1.840359  0.770802  2.314186  1.662166  3.032729  2.919958
Nd178	0.820620  1.802001  1.883090  1.682154  2.872461  2.707668  3.435767  3.476410
Nd180	1.088945  2.304850  2.203969  2.200395  3.654234  3.291799  4.060248  4.272834
Nd182	1.501083  3.062904  2.571268  2.965730  4.397705  3.881372  4.710122  5.146693
Nd184	2.140150  4.234161  3.214178  4.231931  5.438755  4.824957  5.671563  6.329452
Nd186	3.014209  5.692486  4.844622  5.670429  6.525336  6.685946  7.723616  8.286227
Nd188	2.025381  3.926780  2.913884  4.138463  5.072710  4.635219  6.003478  6.036825
Nd190	1.288313  2.562057  2.225248  2.784413  3.994914  3.457143  4.530174  4.767572
Nd192	0.837671  1.790876  1.917217  2.011532  3.148027  2.903249  3.718715  4.016429
Nd194	0.655832  1.479458  1.801313  1.600832  2.490570  2.559942  3.377447  3.380681
Nd196	0.539796  1.251600  1.629907  1.286611  1.990099  2.280004  3.115113  2.749579
Nd198	0.452574  1.070835  1.425112  1.041577  1.728654  2.090067  2.872587  2.306491
Nd200	0.396616  0.950605  1.210437  0.878061  1.681868  1.899648  2.690615  2.098713
Nd202	0.360622  0.873373  1.078952  0.787193  1.674624  1.755108  2.592806  2.004017
Nd204	0.334695  0.821113  1.005874  0.747972  1.673163  1.673877  2.533731  1.956008
Nd206	0.314261  0.784360  0.982066  0.750810  1.676759  1.642525  2.491628  1.941576
Nd208	0.299010  0.760258  0.997402  0.782017  1.686397  1.648275  2.476269  1.956055
Nd210	0.292933  0.754377  1.049866  0.829970  1.691877  1.683873  2.485447  1.996913
Nd212	0.298489  0.769985  1.123581  0.878794  1.675096  1.736813  2.515007  2.045169
Nd214	0.315664  0.807037  1.225290  0.931503  1.635752  1.809519  2.565517  2.092627
